VoidSymbol ffffff
Pointer_DblClick4 fef2
Pointer_DblClick5 fef3
Pointer_Drag_Dflt fef4
Pointer_Drag1 fef5
Pointer_Drag2 fef6
Pointer_Drag3 fef7
Pointer_Drag4 fef8
Pointer_Drag5 fefd
Pointer_EnableKeys fef9
Pointer_Accelerate fefa
Pointer_DfltBtnNext fefb
Pointer_DfltBtnPrev fefc
ch fea0
Ch fea1
CH fea2
c_h fea3
C_h fea4
C_H fea5
3270_Duplicate fd01
3270_FieldMark fd02
3270_Right2 fd03
3270_Left2 fd04
3270_BackTab fd05
3270_EraseEOF fd06
3270_EraseInput fd07
3270_Reset fd08
3270_Quit fd09
3270_PA1 fd0a
3270_PA2 fd0b
3270_PA3 fd0c
3270_Test fd0d
3270_Attn fd0e
3270_CursorBlink fd0f
3270_AltCursor fd10
3270_KeyClick fd11
3270_Jump fd12
3270_Ident fd13
3270_Rule fd14
3270_Copy fd15
3270_Play fd16
3270_Setup fd17
3270_Record fd18
3270_ChangeScreen fd19
3270_DeleteWord fd1a
3270_ExSelect fd1b
3270_CursorSelect fd1c
3270_PrintScreen fd1d
3270_Enter fd1e
space 0020
exclam 0021
quotedbl 0022
numbersign 0023
dollar 0024
percent 0025
ampersand 0026
apostrophe 0027
quoteright 0027
parenleft 0028
parenright 0029
asterisk 002a
plus 002b
comma 002c
minus 002d
period 002e
slash 002f
0 0030
1 0031
2 0032
3 0033
4 0034
5 0035
6 0036
7 0037
8 0038
9 0039
colon 003a
semicolon 003b
less 003c
equal 003d
greater 003e
question 003f
at 0040
A 0041
B 0042
C 0043
D 0044
E 0045
F 0046
G 0047
H 0048
I 0049
J 004a
K 004b
L 004c
M 004d
N 004e
O 004f
P 0050
Q 0051
R 0052
S 0053
T 0054
U 0055
V 0056
W 0057
X 0058
Y 0059
Z 005a
bracketleft 005b
backslash 005c
bracketright 005d
asciicircum 005e
underscore 005f
grave 0060
quoteleft 0060
a 0061
b 0062
c 0063
d 0064
e 0065
f 0066
g 0067
h 0068
i 0069
j 006a
k 006b
l 006c
m 006d
n 006e
o 006f
p 0070
q 0071
r 0072
s 0073
t 0074
u 0075
v 0076
w 0077
x 0078
y 0079
z 007a
braceleft 007b
bar 007c
braceright 007d
asciitilde 007e
nobreakspace 00a0
exclamdown 00a1
cent 00a2
sterling 00a3
currency 00a4
yen 00a5
brokenbar 00a6
section 00a7
diaeresis 00a8
copyright 00a9
ordfeminine 00aa
guillemetleft 00ab
guillemotleft 00ab
notsign 00ac
hyphen 00ad
registered 00ae
macron 00af
degree 00b0
plusminus 00b1
twosuperior 00b2
threesuperior 00b3
acute 00b4
mu 00b5
paragraph 00b6
periodcentered 00b7
cedilla 00b8
onesuperior 00b9
ordmasculine 00ba
masculine 00ba
guillemetright 00bb
guillemotright 00bb
onequarter 00bc
onehalf 00bd
threequarters 00be
questiondown 00bf
Agrave 00c0
Aacute 00c1
Acircumflex 00c2
Atilde 00c3
Adiaeresis 00c4
Aring 00c5
AE 00c6
Ccedilla 00c7
Egrave 00c8
Eacute 00c9
Ecircumflex 00ca
Ediaeresis 00cb
Igrave 00cc
Iacute 00cd
Icircumflex 00ce
Idiaeresis 00cf
ETH 00d0
Eth 00d0
Ntilde 00d1
Ograve 00d2
Oacute 00d3
Ocircumflex 00d4
Otilde 00d5
Odiaeresis 00d6
multiply 00d7
Oslash 00d8
Ooblique 00d8
Ugrave 00d9
Uacute 00da
Ucircumflex 00db
Udiaeresis 00dc
Yacute 00dd
THORN 00de
Thorn 00de
ssharp 00df
agrave 00e0
aacute 00e1
acircumflex 00e2
atilde 00e3
adiaeresis 00e4
aring 00e5
ae 00e6
ccedilla 00e7
egrave 00e8
eacute 00e9
ecircumflex 00ea
ediaeresis 00eb
igrave 00ec
iacute 00ed
icircumflex 00ee
idiaeresis 00ef
eth 00f0
ntilde 00f1
ograve 00f2
oacute 00f3
ocircumflex 00f4
otilde 00f5
odiaeresis 00f6
division 00f7
oslash 00f8
ooblique 00f8
ugrave 00f9
uacute 00fa
ucircumflex 00fb
udiaeresis 00fc
yacute 00fd
thorn 00fe
ydiaeresis 00ff
Aogonek 01a1
breve 01a2
Lstroke 01a3
Lcaron 01a5
Sacute 01a6
Scaron 01a9
Scedilla 01aa
Tcaron 01ab
Zacute 01ac
Zcaron 01ae
Zabovedot 01af
aogonek 01b1
ogonek 01b2
lstroke 01b3
lcaron 01b5
sacute 01b6
caron 01b7
scaron 01b9
scedilla 01ba
tcaron 01bb
zacute 01bc
doubleacute 01bd
zcaron 01be
zabovedot 01bf
Racute 01c0
Abreve 01c3
Lacute 01c5
Cacute 01c6
Ccaron 01c8
Eogonek 01ca
Ecaron 01cc
Dcaron 01cf
Dstroke 01d0
Nacute 01d1
Ncaron 01d2
Odoubleacute 01d5
Rcaron 01d8
Uring 01d9
Udoubleacute 01db
Tcedilla 01de
racute 01e0
abreve 01e3
lacute 01e5
cacute 01e6
ccaron 01e8
eogonek 01ea
ecaron 01ec
dcaron 01ef
dstroke 01f0
nacute 01f1
ncaron 01f2
odoubleacute 01f5
rcaron 01f8
uring 01f9
udoubleacute 01fb
tcedilla 01fe
abovedot 01ff
Hstroke 02a1
Hcircumflex 02a6
Iabovedot 02a9
Gbreve 02ab
Jcircumflex 02ac
hstroke 02b1
hcircumflex 02b6
idotless 02b9
gbreve 02bb
jcircumflex 02bc
Cabovedot 02c5
Ccircumflex 02c6
Gabovedot 02d5
Gcircumflex 02d8
Ubreve 02dd
Scircumflex 02de
cabovedot 02e5
ccircumflex 02e6
gabovedot 02f5
gcircumflex 02f8
ubreve 02fd
scircumflex 02fe
kra 03a2
kappa 03a2
Rcedilla 03a3
Itilde 03a5
Lcedilla 03a6
Emacron 03aa
Gcedilla 03ab
Tslash 03ac
rcedilla 03b3
itilde 03b5
lcedilla 03b6
emacron 03ba
gcedilla 03bb
tslash 03bc
ENG 03bd
eng 03bf
Amacron 03c0
Iogonek 03c7
Eabovedot 03cc
Imacron 03cf
Ncedilla 03d1
Omacron 03d2
Kcedilla 03d3
Uogonek 03d9
Utilde 03dd
Umacron 03de
amacron 03e0
iogonek 03e7
eabovedot 03ec
imacron 03ef
ncedilla 03f1
omacron 03f2
kcedilla 03f3
uogonek 03f9
utilde 03fd
umacron 03fe
Wcircumflex 1000174
wcircumflex 1000175
Ycircumflex 1000176
ycircumflex 1000177
Babovedot 1001e02
babovedot 1001e03
Dabovedot 1001e0a
dabovedot 1001e0b
Fabovedot 1001e1e
fabovedot 1001e1f
Mabovedot 1001e40
mabovedot 1001e41
Pabovedot 1001e56
pabovedot 1001e57
Sabovedot 1001e60
sabovedot 1001e61
Tabovedot 1001e6a
tabovedot 1001e6b
Wgrave 1001e80
wgrave 1001e81
Wacute 1001e82
wacute 1001e83
Wdiaeresis 1001e84
wdiaeresis 1001e85
Ygrave 1001ef2
ygrave 1001ef3
OE 13bc
oe 13bd
Ydiaeresis 13be
overline 047e
kana_fullstop 04a1
kana_openingbracket 04a2
kana_closingbracket 04a3
kana_comma 04a4
kana_conjunctive 04a5
kana_middledot 04a5
kana_WO 04a6
kana_a 04a7
kana_i 04a8
kana_u 04a9
kana_e 04aa
kana_o 04ab
kana_ya 04ac
kana_yu 04ad
kana_yo 04ae
kana_tsu 04af
kana_tu 04af
prolongedsound 04b0
kana_A 04b1
kana_I 04b2
kana_U 04b3
kana_E 04b4
kana_O 04b5
kana_KA 04b6
kana_KI 04b7
kana_KU 04b8
kana_KE 04b9
kana_KO 04ba
kana_SA 04bb
kana_SHI 04bc
kana_SU 04bd
kana_SE 04be
kana_SO 04bf
kana_TA 04c0
kana_CHI 04c1
kana_TI 04c1
kana_TSU 04c2
kana_TU 04c2
kana_TE 04c3
kana_TO 04c4
kana_NA 04c5
kana_NI 04c6
kana_NU 04c7
kana_NE 04c8
kana_NO 04c9
kana_HA 04ca
kana_HI 04cb
kana_FU 04cc
kana_HU 04cc
kana_HE 04cd
kana_HO 04ce
kana_MA 04cf
kana_MI 04d0
kana_MU 04d1
kana_ME 04d2
kana_MO 04d3
kana_YA 04d4
kana_YU 04d5
kana_YO 04d6
kana_RA 04d7
kana_RI 04d8
kana_RU 04d9
kana_RE 04da
kana_RO 04db
kana_WA 04dc
kana_N 04dd
voicedsound 04de
semivoicedsound 04df
kana_switch ff7e
Farsi_0 10006f0
Farsi_1 10006f1
Farsi_2 10006f2
Farsi_3 10006f3
Farsi_4 10006f4
Farsi_5 10006f5
Farsi_6 10006f6
Farsi_7 10006f7
Farsi_8 10006f8
Farsi_9 10006f9
Arabic_percent 100066a
Arabic_superscript_alef 1000670
Arabic_tteh 1000679
Arabic_peh 100067e
Arabic_tcheh 1000686
Arabic_ddal 1000688
Arabic_rreh 1000691
Arabic_comma 05ac
Arabic_fullstop 10006d4
Arabic_0 1000660
Arabic_1 1000661
Arabic_2 1000662
Arabic_3 1000663
Arabic_4 1000664
Arabic_5 1000665
Arabic_6 1000666
Arabic_7 1000667
Arabic_8 1000668
Arabic_9 1000669
Arabic_semicolon 05bb
Arabic_question_mark 05bf
Arabic_hamza 05c1
Arabic_maddaonalef 05c2
Arabic_hamzaonalef 05c3
Arabic_hamzaonwaw 05c4
Arabic_hamzaunderalef 05c5
Arabic_hamzaonyeh 05c6
Arabic_alef 05c7
Arabic_beh 05c8
Arabic_tehmarbuta 05c9
Arabic_teh 05ca
Arabic_theh 05cb
Arabic_jeem 05cc
Arabic_hah 05cd
Arabic_khah 05ce
Arabic_dal 05cf
Arabic_thal 05d0
Arabic_ra 05d1
Arabic_zain 05d2
Arabic_seen 05d3
Arabic_sheen 05d4
Arabic_sad 05d5
Arabic_dad 05d6
Arabic_tah 05d7
Arabic_zah 05d8
Arabic_ain 05d9
Arabic_ghain 05da
Arabic_tatweel 05e0
Arabic_feh 05e1
Arabic_qaf 05e2
Arabic_kaf 05e3
Arabic_lam 05e4
Arabic_meem 05e5
Arabic_noon 05e6
Arabic_ha 05e7
Arabic_heh 05e7
Arabic_waw 05e8
Arabic_alefmaksura 05e9
Arabic_yeh 05ea
Arabic_fathatan 05eb
Arabic_dammatan 05ec
Arabic_kasratan 05ed
Arabic_fatha 05ee
Arabic_damma 05ef
Arabic_kasra 05f0
Arabic_shadda 05f1
Arabic_sukun 05f2
Arabic_madda_above 1000653
Arabic_hamza_above 1000654
Arabic_hamza_below 1000655
Arabic_jeh 1000698
Arabic_veh 10006a4
Arabic_keheh 10006a9
Arabic_gaf 10006af
Arabic_noon_ghunna 10006ba
Arabic_heh_doachashmee 10006be
Farsi_yeh 10006cc
Arabic_farsi_yeh 10006cc
Arabic_yeh_baree 10006d2
Arabic_heh_goal 10006c1
Arabic_switch ff7e
Cyrillic_GHE_bar 1000492
Cyrillic_ghe_bar 1000493
Cyrillic_ZHE_descender 1000496
Cyrillic_zhe_descender 1000497
Cyrillic_KA_descender 100049a
Cyrillic_ka_descender 100049b
Cyrillic_KA_vertstroke 100049c
Cyrillic_ka_vertstroke 100049d
Cyrillic_EN_descender 10004a2
Cyrillic_en_descender 10004a3
Cyrillic_U_straight 10004ae
Cyrillic_u_straight 10004af
Cyrillic_U_straight_bar 10004b0
Cyrillic_u_straight_bar 10004b1
Cyrillic_HA_descender 10004b2
Cyrillic_ha_descender 10004b3
Cyrillic_CHE_descender 10004b6
Cyrillic_che_descender 10004b7
Cyrillic_CHE_vertstroke 10004b8
Cyrillic_che_vertstroke 10004b9
Cyrillic_SHHA 10004ba
Cyrillic_shha 10004bb
Cyrillic_SCHWA 10004d8
Cyrillic_schwa 10004d9
Cyrillic_I_macron 10004e2
Cyrillic_i_macron 10004e3
Cyrillic_O_bar 10004e8
Cyrillic_o_bar 10004e9
Cyrillic_U_macron 10004ee
Cyrillic_u_macron 10004ef
Serbian_dje 06a1
Macedonia_gje 06a2
Cyrillic_io 06a3
Ukrainian_ie 06a4
Ukranian_je 06a4
Macedonia_dse 06a5
Ukrainian_i 06a6
Ukranian_i 06a6
Ukrainian_yi 06a7
Ukranian_yi 06a7
Cyrillic_je 06a8
Serbian_je 06a8
Cyrillic_lje 06a9
Serbian_lje 06a9
Cyrillic_nje 06aa
Serbian_nje 06aa
Serbian_tshe 06ab
Macedonia_kje 06ac
Ukrainian_ghe_with_upturn 06ad
Byelorussian_shortu 06ae
Cyrillic_dzhe 06af
Serbian_dze 06af
numerosign 06b0
Serbian_DJE 06b1
Macedonia_GJE 06b2
Cyrillic_IO 06b3
Ukrainian_IE 06b4
Ukranian_JE 06b4
Macedonia_DSE 06b5
Ukrainian_I 06b6
Ukranian_I 06b6
Ukrainian_YI 06b7
Ukranian_YI 06b7
Cyrillic_JE 06b8
Serbian_JE 06b8
Cyrillic_LJE 06b9
Serbian_LJE 06b9
Cyrillic_NJE 06ba
Serbian_NJE 06ba
Serbian_TSHE 06bb
Macedonia_KJE 06bc
Ukrainian_GHE_WITH_UPTURN 06bd
Byelorussian_SHORTU 06be
Cyrillic_DZHE 06bf
Serbian_DZE 06bf
Cyrillic_yu 06c0
Cyrillic_a 06c1
Cyrillic_be 06c2
Cyrillic_tse 06c3
Cyrillic_de 06c4
Cyrillic_ie 06c5
Cyrillic_ef 06c6
Cyrillic_ghe 06c7
Cyrillic_ha 06c8
Cyrillic_i 06c9
Cyrillic_shorti 06ca
Cyrillic_ka 06cb
Cyrillic_el 06cc
Cyrillic_em 06cd
Cyrillic_en 06ce
Cyrillic_o 06cf
Cyrillic_pe 06d0
Cyrillic_ya 06d1
Cyrillic_er 06d2
Cyrillic_es 06d3
Cyrillic_te 06d4
Cyrillic_u 06d5
Cyrillic_zhe 06d6
Cyrillic_ve 06d7
Cyrillic_softsign 06d8
Cyrillic_yeru 06d9
Cyrillic_ze 06da
Cyrillic_sha 06db
Cyrillic_e 06dc
Cyrillic_shcha 06dd
Cyrillic_che 06de
Cyrillic_hardsign 06df
Cyrillic_YU 06e0
Cyrillic_A 06e1
Cyrillic_BE 06e2
Cyrillic_TSE 06e3
Cyrillic_DE 06e4
Cyrillic_IE 06e5
Cyrillic_EF 06e6
Cyrillic_GHE 06e7
Cyrillic_HA 06e8
Cyrillic_I 06e9
Cyrillic_SHORTI 06ea
Cyrillic_KA 06eb
Cyrillic_EL 06ec
Cyrillic_EM 06ed
Cyrillic_EN 06ee
Cyrillic_O 06ef
Cyrillic_PE 06f0
Cyrillic_YA 06f1
Cyrillic_ER 06f2
Cyrillic_ES 06f3
Cyrillic_TE 06f4
Cyrillic_U 06f5
Cyrillic_ZHE 06f6
Cyrillic_VE 06f7
Cyrillic_SOFTSIGN 06f8
Cyrillic_YERU 06f9
Cyrillic_ZE 06fa
Cyrillic_SHA 06fb
Cyrillic_E 06fc
Cyrillic_SHCHA 06fd
Cyrillic_CHE 06fe
Cyrillic_HARDSIGN 06ff
Greek_ALPHAaccent 07a1
Greek_EPSILONaccent 07a2
Greek_ETAaccent 07a3
Greek_IOTAaccent 07a4
Greek_IOTAdieresis 07a5
Greek_IOTAdiaeresis 07a5
Greek_OMICRONaccent 07a7
Greek_UPSILONaccent 07a8
Greek_UPSILONdieresis 07a9
Greek_OMEGAaccent 07ab
Greek_accentdieresis 07ae
Greek_horizbar 07af
Greek_alphaaccent 07b1
Greek_epsilonaccent 07b2
Greek_etaaccent 07b3
Greek_iotaaccent 07b4
Greek_iotadieresis 07b5
Greek_iotaaccentdieresis 07b6
Greek_omicronaccent 07b7
Greek_upsilonaccent 07b8
Greek_upsilondieresis 07b9
Greek_upsilonaccentdieresis 07ba
Greek_omegaaccent 07bb
Greek_ALPHA 07c1
Greek_BETA 07c2
Greek_GAMMA 07c3
Greek_DELTA 07c4
Greek_EPSILON 07c5
Greek_ZETA 07c6
Greek_ETA 07c7
Greek_THETA 07c8
Greek_IOTA 07c9
Greek_KAPPA 07ca
Greek_LAMDA 07cb
Greek_LAMBDA 07cb
Greek_MU 07cc
Greek_NU 07cd
Greek_XI 07ce
Greek_OMICRON 07cf
Greek_PI 07d0
Greek_RHO 07d1
Greek_SIGMA 07d2
Greek_TAU 07d4
Greek_UPSILON 07d5
Greek_PHI 07d6
Greek_CHI 07d7
Greek_PSI 07d8
Greek_OMEGA 07d9
Greek_alpha 07e1
Greek_beta 07e2
Greek_gamma 07e3
Greek_delta 07e4
Greek_epsilon 07e5
Greek_zeta 07e6
Greek_eta 07e7
Greek_theta 07e8
Greek_iota 07e9
Greek_kappa 07ea
Greek_lamda 07eb
Greek_lambda 07eb
Greek_mu 07ec
Greek_nu 07ed
Greek_xi 07ee
Greek_omicron 07ef
Greek_pi 07f0
Greek_rho 07f1
Greek_sigma 07f2
Greek_finalsmallsigma 07f3
Greek_tau 07f4
Greek_upsilon 07f5
Greek_phi 07f6
Greek_chi 07f7
Greek_psi 07f8
Greek_omega 07f9
Greek_switch ff7e
leftradical 08a1
topleftradical 08a2
horizconnector 08a3
topintegral 08a4
botintegral 08a5
vertconnector 08a6
topleftsqbracket 08a7
botleftsqbracket 08a8
toprightsqbracket 08a9
botrightsqbracket 08aa
topleftparens 08ab
botleftparens 08ac
toprightparens 08ad
botrightparens 08ae
leftmiddlecurlybrace 08af
rightmiddlecurlybrace 08b0
topleftsummation 08b1
botleftsummation 08b2
topvertsummationconnector 08b3
botvertsummationconnector 08b4
toprightsummation 08b5
botrightsummation 08b6
rightmiddlesummation 08b7
lessthanequal 08bc
notequal 08bd
greaterthanequal 08be
integral 08bf
therefore 08c0
variation 08c1
infinity 08c2
nabla 08c5
approximate 08c8
similarequal 08c9
ifonlyif 08cd
implies 08ce
identical 08cf
radical 08d6
includedin 08da
includes 08db
intersection 08dc
union 08dd
logicaland 08de
logicalor 08df
partialderivative 08ef
function 08f6
leftarrow 08fb
uparrow 08fc
rightarrow 08fd
downarrow 08fe
blank 09df
soliddiamond 09e0
checkerboard 09e1
ht 09e2
ff 09e3
cr 09e4
lf 09e5
nl 09e8
vt 09e9
lowrightcorner 09ea
uprightcorner 09eb
upleftcorner 09ec
lowleftcorner 09ed
crossinglines 09ee
horizlinescan1 09ef
horizlinescan3 09f0
horizlinescan5 09f1
horizlinescan7 09f2
horizlinescan9 09f3
leftt 09f4
rightt 09f5
bott 09f6
topt 09f7
vertbar 09f8
emspace 0aa1
enspace 0aa2
em3space 0aa3
em4space 0aa4
digitspace 0aa5
punctspace 0aa6
thinspace 0aa7
hairspace 0aa8
emdash 0aa9
endash 0aaa
signifblank 0aac
ellipsis 0aae
doubbaselinedot 0aaf
onethird 0ab0
twothirds 0ab1
onefifth 0ab2
twofifths 0ab3
threefifths 0ab4
fourfifths 0ab5
onesixth 0ab6
fivesixths 0ab7
careof 0ab8
figdash 0abb
leftanglebracket 0abc
decimalpoint 0abd
rightanglebracket 0abe
marker 0abf
oneeighth 0ac3
threeeighths 0ac4
fiveeighths 0ac5
seveneighths 0ac6
trademark 0ac9
signaturemark 0aca
trademarkincircle 0acb
leftopentriangle 0acc
rightopentriangle 0acd
emopencircle 0ace
emopenrectangle 0acf
leftsinglequotemark 0ad0
rightsinglequotemark 0ad1
leftdoublequotemark 0ad2
rightdoublequotemark 0ad3
prescription 0ad4
permille 0ad5
minutes 0ad6
seconds 0ad7
latincross 0ad9
hexagram 0ada
filledrectbullet 0adb
filledlefttribullet 0adc
filledrighttribullet 0add
emfilledcircle 0ade
emfilledrect 0adf
enopencircbullet 0ae0
enopensquarebullet 0ae1
openrectbullet 0ae2
opentribulletup 0ae3
opentribulletdown 0ae4
openstar 0ae5
enfilledcircbullet 0ae6
enfilledsqbullet 0ae7
filledtribulletup 0ae8
filledtribulletdown 0ae9
leftpointer 0aea
rightpointer 0aeb
club 0aec
diamond 0aed
heart 0aee
maltesecross 0af0
dagger 0af1
doubledagger 0af2
checkmark 0af3
ballotcross 0af4
musicalsharp 0af5
musicalflat 0af6
malesymbol 0af7
femalesymbol 0af8
telephone 0af9
telephonerecorder 0afa
phonographcopyright 0afb
caret 0afc
singlelowquotemark 0afd
doublelowquotemark 0afe
cursor 0aff
leftcaret 0ba3
rightcaret 0ba6
downcaret 0ba8
upcaret 0ba9
overbar 0bc0
downtack 0bc2
upshoe 0bc3
downstile 0bc4
underbar 0bc6
jot 0bca
quad 0bcc
uptack 0bce
circle 0bcf
upstile 0bd3
downshoe 0bd6
rightshoe 0bd8
leftshoe 0bda
lefttack 0bdc
righttack 0bfc
hebrew_doublelowline 0cdf
hebrew_aleph 0ce0
hebrew_bet 0ce1
hebrew_beth 0ce1
hebrew_gimel 0ce2
hebrew_gimmel 0ce2
hebrew_dalet 0ce3
hebrew_daleth 0ce3
hebrew_he 0ce4
hebrew_waw 0ce5
hebrew_zain 0ce6
hebrew_zayin 0ce6
hebrew_chet 0ce7
hebrew_het 0ce7
hebrew_tet 0ce8
hebrew_teth 0ce8
hebrew_yod 0ce9
hebrew_finalkaph 0cea
hebrew_kaph 0ceb
hebrew_lamed 0cec
hebrew_finalmem 0ced
hebrew_mem 0cee
hebrew_finalnun 0cef
hebrew_nun 0cf0
hebrew_samech 0cf1
hebrew_samekh 0cf1
hebrew_ayin 0cf2
hebrew_finalpe 0cf3
hebrew_pe 0cf4
hebrew_finalzade 0cf5
hebrew_finalzadi 0cf5
hebrew_zade 0cf6
hebrew_zadi 0cf6
hebrew_qoph 0cf7
hebrew_kuf 0cf7
hebrew_resh 0cf8
hebrew_shin 0cf9
hebrew_taw 0cfa
hebrew_taf 0cfa
Hebrew_switch ff7e
Thai_kokai 0da1
Thai_khokhai 0da2
Thai_khokhuat 0da3
